title,description,directed_by,produced_by,starring,country,language,release_date
105 Minuttess,"105 Minuttess is a 2024 Indian Telugu-language horror thriller film directed by Raju Dussa and produced by Bommak Shiva. The film stars Hansika Motwani, the only actor in the film. The film received negative reviews from critics.",Raju Dussa,Bommak Shiva,Hansika Motwani,India,Telugu,26-01-2024
200% Wolf,"The story follows Heroic poodle Freddy Lupin, thinks he has everything it takes to lead his werewolf pack, but earning the respect of his packmates proves to be a challenge. If only he were more... wolfish.",Alexs Stadermann,"Barbara Stephen, Alexia Gates-Foale, Carmen Perez-Marsa Roca, Tracy Lenon","Samara Weaving, Jennifer Saunders, Ilai Swindells, Akmal Saleh, Peter McAllum, Sarah Harper, Elizabeth Nabben","Australia, Mexico",English,No date
840,"840, also known as Democracy Private Limited, is a political satire Bengali film directed by Mostofa Sarwar Farooki. It was released in theatres across Bangladesh on 13 December 2024. According to the director, this film serves as a follow-up to his 2007 TV series 420, making 840 a 'double up' of that series.[1]",Mostofa Sarwar Farooki,Nusrat Imrose Tisha,"Nasir Uddin Khan, Marzuk Russell, Bijori Barkatullah, Zakia Bari Mamo, Shahriar Nazim Joy, Ashutosh Sujan",No data,Bengali,No date
1957,1957 is a Ghanaian movie produced and directed by Kyekyeku.[2][3] The movie release date was 6 March 2024.[4],Kyekyeku,Kyekyeku,"Kalsoume Sinare, Papa Kumasi, Dr. Likee, Vanessa Nicole, Bernice Asare, Empress Gifty",Ghana,No data,No date
1970 Love Story,"The film is based on the real events of an incident in 1970.[4] The film received positive reviews from critics, who praised the plot, locations and acting.[6]",Aruna Jayawardane,Saman Edirisinghe,"Hemal Ranasinghe, Mahendra Perera, Gamya Wijayadasa",Sri Lanka,Sinhala,No date
1978,"Set in 1978 in the final game between Holland and Argentine, a paramilitary squadron kidnapped the wrong people, a deadly cult.","Luciano Onetti, Nicolas Onetti","Luciano Onetti, Carlos Goitia","Agustin Olcense, Mario Alarcon",Argentina,Spanish,09-12-2024
1992,"1992 is a 2024 American heist thriller film directed by Ariel Vromen and written by Sascha Penn and Vromen from a story by Penn.[4] The film stars Tyrese Gibson, Scott Eastwood, and Ray Liotta.[5] Producer Dot da Genius makes a cameo appearance in the film as his film debut. The working title of the film, April 29, 1992, refers to the first night of the 1992 Los Angeles riots, which is when and where the film is set; the title was later simplified to 1992.[6]",Ariel Vromen,"Ariel Vromen, Maurice Fadida, Adam Kolbrenner, Sascha Penn, Andreas Rommel","Tyrese Gibson, Scott Eastwood, Ray Liotta",United States,English,30-08-2024
1995,"The cast also includes Sandrine Bisson, Francis-William Rhéaume, Rose Adam, Shadi Janho, Guillaume Gauthier, Claudio Colangelo, Olivier Aubin, Mickaël Gouin, Myriam Gaboury, Maude Bouchard, Marie-Josée Bastien and David Leblanc.",Ricardo Trogi,Marie-Claude Poulin,"Jean-Carl Boucher, Sandrine Bisson, Francis-William Rhéaume",Canada,French,31-07-2024
2073,"2073 is a 2024 British science fiction docudrama film directed by Asif Kapadia. Set in a dystopian future, the film is inspired by Chris Marker's 1962 featurette La Jetée.[4] The film takes on the big subjects of climate change, corporate fascism, the global erosion of democracy through the rise of fascism and fictionally depicts a future where these forces are allowed to continue unchecked.[5]",Asif Kapadia,"George Chignell, Asif Kapadia","Samantha Morton, Naomi Ackie, Hector Hewer",United Kingdom,English,03-09-2024
Aa Okkati Adakku,"Aa Okkati Adakku (transl. Don't ask that one thing) is an Indian Telugu-language romantic comedy drama film directed by Malli Ankam. It is produced by Rajiv Chilaka and co-produced with Bharath Laxmipati  under Chilaka Productions. The film stars Allari Naresh, Faria Abdullah, Vennela Kishore, Jamie Lever, Harsha Chemudu and Hari Teja in lead roles.[2]",Malli Ankam,Rajiv Chilaka,"Allari Naresh, Faria Abdullah",India,Telugu,03-05-2024
Aakhir Palaayan Kab Tak,"Aakhir Palaayan Kab Tak is a 2024 Hindi drama film that was released on 16 February 2024.[2] Directed and written by Mukul Vikram, the movie takes the audience on a journey through the life of a police officer who becomes the central figure in a tale of personal challenges and unraveling a complex web of lies in a seemingly peaceful town.[3][4] Suraj Singh Mas was the casting director of the movie and also acted in it.",Mukul Vikram,"Sohani Kumari, Alka Choudhary","Rajesh Sharma, Bhushan Patiyal, Chittaranjan Giri, Gaurav Sharma, Dheerendra Dwivedi",India,Hindi,16-02-2024
Aalakaalam,Aalakaalam (transl. Era) is 2024 Indian Tamil-language Social drama film written and directed by Jaya Krishnamoorthy. The film stars Easwari Rao and Jaya Krishnamoorthy. The film was produced by Jaya Krishnamoorthy under the banner of Shree Jai Productions.,Jaya Krishnamoorthy,Jaya Krishnamoorthy,"Easwari Rao, Jaya Krishnamoorthy",India,Tamil,05-04-2024
Aalan,No data,R.Siva,R.Siva,"Vetri, Mathura, Aruvi Madhankumar, Anu Sithara",India,Tamil,18-10-2024
Aanandhapuram Diaries,"Aanandhapuram Diaries is a 2024 Indian Malayalam-language drama film written and directed by Jaya Jose Raj. The film stars Meena alongside Srikanth, Roshan Abdul Rahoof, Maala Parvathi, and Manoj K. Jayan in pivotal roles.",Jaya Jose Raj,Sasi Gopalan Nair,Meena,India,Malayalam,01-03-2024
Aaraam Arvind Swamy,"Aaraam Arvind Swamy is a 2024 Indian Kannada-language romantic comedy film directed and written by Abhishek Shetty.[1][2] The film stars Aniish, Milana Nagaraj and Hrithika Srinivas.[3][4] Produced under Aiikya Studios and 786 Films, the film's music is composed by Arjun Janya.[5] It was released on 22 November 2024.[6]",Abhishek Shetty,"Shreekanth Prasanna, Prashant Reddy S","Aniissh Tejeshwar, Milana Nagaraj, Hrithika Srinivasan",India,Kannada,22-11-2024
Aaragan,No data,Arun KR,Harikaran Panchalingam,"Michael Thangadurai, Kavipriya Manoharan",India,Tamil,04-10-2024
Aarambham,"Aarambham (transl. Beginning) is a 2024 Indian Telugu-language science fiction drama film written and directed by Ajay Nag V.[1] The film features Mohan Bhagat, Supritha Sathyanarayan, Bhooshan and Ravindra Vijay in important roles. Aarambham is an adaptation of the Kannada novel Neenu Ninnolage Khaidi, and was released on 10 May 2024.[2][3]",Ajay Nag V,Abhishek V Thirumalesh,"Mohan Bhagat, Supritha Sathyanarayan, Bhooshan, Ravindra Vijay",India,Telugu,10-05-2024
Aavesham,"Aavesham (transl. Excitement) is a 2024 Indian Malayalam-language action comedy film written and directed by Jithu Madhavan. It is produced by Fahadh Faasil, Nazriya Nazim, and Anwar Rasheed under their Fahadh Faasil and Friends and Anwar Rasheed Entertainments production banners. The film stars Fahadh, Hipzster, Mithun Jai Shankar, Roshan Shanavas, and Sajin Gopu. In the film, three youngsters in Bengaluru befriends a local gangster to help them take revenge on their college bully.",Jithu Madhavan,"Nazriya Nazim, Anwar Rasheed, Fahadh Faasil, [, 1, ]","Fahadh Faasil, Hipzster, Mithun Jai Shankar, Roshan Shanavas, Sajin Gopu",India,Malayalam,11-04-2024
Aay,"Aay is a 2024 Indian Telugu-language romantic comedy film written and directed by Anji K. Maniputhra.[2] The film features Narne Nithin, Nayan Sarika, Rajkumar Kasireddy and Ankith Koyya in important roles. Aay was released on 16 August 2024.[3]",Anji K. Maniputhra,"Bunny Vas, Vidya Koppineedi, Riyaz Chowdary, Bhanu Pratapa","Narne Nithin, Nayan Sarika, Rajkumar Kasireddy, Ankith Koyya",India,Telugu,16-08-2024
Aayushmati Geeta Matric Pass,"Aayushmati Geeta Matric Pass[1] is an Indian family drama film starring Kashika Kapoor, Anuj Saini, Alka Amin and Atul Srivastav. Directed by Prradip Khairwar the film is set for a theatrical release on 18 October 2024.[2][3]",Prradip Khairwar,"Prradip Khairwar, Shanu Singh Rajput, 
                   co producer: JK Entertainment and Pentech International","Kashika Kapoor, Anuj Saini, Alka Amin, Atul Shrivastav",India,Hindi,18-10-2024
Ababooned,"The film features a large ensemble cast, including Éric Bruneau, Rémi Brideau, Rémy Girard, Maïla Valentir, Gaston Lepage, Lilou Roy-Lanouette, Martin Dubreuil, Pascale Montpetit, Mylène Mackay, Miguel Bédard, Devi Julia Pelletier, Donald Pilon, Réal Bossé, Pierre-Luc Brillant, Luc Senay, Jean-Marie-Lapointe, Hugolin Chevrette, Jean Boileau, Simon Lefebvre, Laurent-Christophe de Ruelle, Renaud Pinet-Forcier, Stéphane L’Écuyer, Émile Schneider and Noémie O'Farrell.[2]",André Forcier,"Roger Frappier, Louis Laverdière, Linda Pinet","Éric Bruneau, Rémy Girard, Martin Dubreuil",Canada,French,04-08-2024
An Abandoned Team,"Uncle Gai is a 60-year-old hot-tempered loner who has been living a solitary life. His marriage ended in failure, and his distant relationship with his daughter (played by Fish Yu), leaving him increasingly isolated. After retiring, he feels that life has lost its meaning. One day, overwhelmed by despair, he decides to end his life by going to the mountains. However, just as he is about to give up, he is discovered by a stray dog named Roast Piggy, who leads animal volunteer Una (played by Amy Lo) to find him and rescue him. This unexpected encounter becomes a turning point in Uncle Gai’s life.","Tomas Lee Chi-wai, Daniel Ho Ying-ngai",No data,"Lawrence Cheng,, Amy Lo,, Jay Fung,, Bonnie Wong",Hong Kong,Cantonese,07-11-2024
Abbabba,"Abbabba (transl. Wow) is a 2024 Indian Kannada-language comedy horror film written and directed by K. M. Chaitanya and starring Likith Shetty and Amrutha Iyengar in lead roles.[1][2] Film was Produced by Malayalam actress Ann Augustine, Vijay Babu and Vivek Thomas under banner of Miramar Films and Friday Film House.[3] The film is a remake of the 2015 Malayalam film Adi Kapyare Kootamani.[4] The music was composed by	Deepak Alexander, while the cinematography and editing were handled by Manohar Joshi and Haridoss respectively.[5]",K. M. Chaitanya,"Ann Augustine, Vijay Babu, Vivek Thomas","Likith Shetty, Amrutha Iyengar",India,Kannada,16-02-2024
Aberdeen,"The cast also includes Billy Merasty, Jennifer Podemski, Liam Stewart-Kanigan and Ryan Rajendra Black.","Ryan Cooper, Eva Thomas","Ryan Cooper, Kathleen Easton, Kyle Bornais","Gail Maurice, Billy Merasty, Jennifer Podemski, Ryan Rajendra Black",Canada,English,08-09-2024
Abhi,"Abhi, (ابھی), is a 2024 Pakistani Urdu language film, directed by Asad Mumtaz Malik, features a storyline and music composed by Malik himself. Starring Kubra Khan and Goher Mumtaz in lead roles, it was released on 17 June 2024, coinciding with Eid-ul-Adha. Premier of film took place in Karachi on 23 June 2024.[2]",Asad Mumtaz Malik,No data,"Kubra Khan, Goher Mumtaz",Pakistan,Urdu,17-06-2024
Abhirami,"Abhirami is a 2024 Indian Malayalam-language comedy drama film directed by Mushthaque Rahman Kariyaden.[1][2][3][4] The film was produced by Shalil Kallur, Madhu Karuvath, Santhosh Radhakrishnan and Shabeek Thayyil under the banner of MJS Media, Spectac Movies and Copernicus Productions.[5] The film features Gayathri Suresh, Roshan Basheer and Harikrishnan.[6][7][8][9][10]",Mushthaque Rahman Kariyaden,"Shalil Kallur, Madhu Karuvath, Santhosh Radhakrishnan, Shabeek Thayyil","Gayathri Suresh, Roshan Basheer, Harikrishnan",India,Malayalam,07-06-2024
Abi-e Roshan,"Abi-e Roshan is a social film set in the city of Tabriz. The film is a dramatic narrative of the problems of a man centered on Mehran Ahmadi as Younes, a mine owner, confidant, and city magnate who embarks on a new path with the discovery of a rare turquoise.[6][7]",Babak Khajehpasha,Seyyed Mohammad Hossein Miri,No data,Iran,Persian,12-06-2024
Abigail,"Abigail is a 2024 American vampire horror comedy film directed by Matt Bettinelli-Olpin and Tyler Gillett, and written by Stephen Shields and Guy Busick. It stars Alisha Weir as the title character alongside Melissa Barrera, Dan Stevens, Kathryn Newton, Will Catlett, Kevin Durand, Angus Cloud, and Giancarlo Esposito. The film follows a group of kidnappers who capture the daughter of a powerful underworld figure and demand $50 million for her release, unaware of something sinister.","Matt Bettinelli-Olpin, Tyler Gillett","William Sherak, James Vanderbilt, Paul Neinstein, Tripp Vinson, Chad Villella","Melissa Barrera, Dan Stevens, Kathryn Newton, Will Catlett, Kevin Durand, Angus Cloud, Alisha Weir, Giancarlo Esposito",United States,English,07-04-2024
About Family,"About Family (Korean: 대가족) is a 2024 South Korean comedy-drama film written and directed by Yang Woo-suk, starring Kim Yoon-seok, Lee Seung-gi, Kim Sung-ryung, Kang Han-na, Park Soo-young, Kim Si-woo, and Yoon Chae-na. It was released theatrically on December 11, 2024.[3]",Yang Woo-suk,Yang Woo-suk,"Kim Yoon-seok, Lee Seung-gi, Kim Sung-ryung, Kang Han-na, Park Soo-young, Kim Si-woo, Yoon Chae-na",South Korea,Korean,11-12-2024
Abraham Ozler,"Abraham Ozler is a 2024 Indian Malayalam-language crime thriller film co-produced and directed by Midhun Manuel Thomas and written by Randheer Krishnan.[2][3][4] The film stars Jayaram in the titular role alongside Mammootty in an extended cameo role with Anaswara Rajan, Anoop Menon, Arjun Ashokan, Saiju Kurup, Arya Salim, Senthil Krishna, Jagadish, Saikumar and Dileesh Pothan in supporting roles.[5] The film revolves around ACP Abraham Ozler's efforts to investigate the death of an IT employee and capture a serial killer, also known as ""Birthday Killer"".",Midhun Manuel Thomas,"Irshad M. Hassan, Midhun Manuel Thomas","Jayaram, Mammootty, Anoop Menon, Anaswara Rajan, Arjun Ashokan",India,Malayalam,11-01-2024
Absolution,"Absolution was theatrically released on November 1, 2024 by Samuel Goldwyn Films, and received mixed reviews from critics.",Hans Petter Moland,"Warren Goz, Eric Gold, Roger Birnbaum, Michael Besman","Liam Neeson, Ron Perlman, Yolonda Ross, Frankie Shaw, Daniel Diemer",United States,English,01-11-2024
Accident or Conspiracy: Godhra,"Accident or Conspiracy: Godhra is a 2024 Indian Hindi-language drama film produced under the banner of OM Trinetra Films and Artverse Studios directed by M.K Shivaaksh.[3][4][5] The film is based on the events surrounding the 2002 Godhra train fire in Gujarat, India, which later led to the 2002 Gujarat riots. The film received poor reviews.[6][7]",M.K. Shivaaksh,B.J. Purohit,"Ranvir Shorey, Manoj Joshi, Hitu Kanodia, Denisha Ghumra, Akshita Namdev, MK Shivaaksh",India,Hindi,No date
Across the Sea,"Across the Sea (French: La mer au loin) is a drama film, directed by Saïd Hamich Benlarbi and released in 2024.[1]",Saïd Hamich Benlarbi,Sophie Penson,"Ayoub Gretaa, Grégoire Colin, Anna Mouglalis","France, Morocco, Belgium, Qatar","French, Arabic",17-05-2024
Adam Bol,"Three reckless Kazakhstani men on a trip to America experience an emergency landing in Nigeria, which sets off series of misadventures that test their life ideals, leading to profound personal lessons.","Almaz Alimzhanov, Cheta Chukwu","Aidarkhan Adilbayev, Chimezie Imo, David Ikeata, Zhanel Ramazanova",No data,"Kazakhstan, Nigeria","English, Russian, Kazakh",01-01-2024
Adam the First,A 14-year-old boy sets out across the country to meet a series of men who could be his father.[5],Irving Franco,No data,"Oakes Fegley, David Duchovny, Larry Pine, T. R. Knight",United States,English,14-02-2024
Adam Sandler: Love You,Ventriloquist Willie Tyler and his puppet Lester appeared in the special.[3],No data,No data,No data,No data,No data,No date
The Adamant Girl,"Kottukkaali (English: The Adamant Girl) is a 2024 Indian Tamil-language road drama film directed by P. S. Vinothraj and produced by SK Productions. The film, which revolves around Meena who loves a man from a lower caste but her family thinks she is possessed  and cast the spell out of her, stars Soori and Anna Ben (in her Tamil debut).[1]",P. S. Vinothraj,"Sivakarthikeyan, Kalai Arasu","Soori, Anna Ben",India,Tamil,16-02-2024
Adbhut,"Adbhut is an Indian Hindi-language supernatural horror film written and directed by Sabbir Khan.[1]  it stars Nawazuddin Siddiqui, 
Diana Penty and Shreya Dhanwanthary.[2] The film was premiered directly on Sony Max on 15 September.[3][4][5]",Sabbir Khan,"Sony Pictures Networks India, Sabbir Khan","Nawazuddin Siddiqui, Diana Penty, Shreya Dhanwanthary",India,Hindi,15-09-2024
Ade (On a Sunday),"Ade (On a Sunday) is a 2024 Tenyidie language short film written and directed by Theja Rio[1] and produced by Dan Pusa and Nancy Nisa Beso. The crew consisted of Natdanai Ham Naksuwarn (Thailand) (DOP), Yiwei Pu (China) (Film Editor), Nir Perlman and Liam Sharpe (United Kingdom) (Sound).",Theja Rio,"Theja Rio, Dan Pusa, Nancy Nisa Beso","Visalie Kuotsu, Kedo Kuotsu",India,Tenyidie,26-01-2024
Adharma Kadhaigal,"Adharma Kadhaigal (transl. Stories of injustice) is a 2024 Indian Tamil-language fantasy thriller drama film written and directed by Kamaraj Vel. The film stars Vetri, Sakshi Agarwal,[1] Ammu Abhirami, and Dhivya Duraisamy in lead roles.",Kamaraj Vel,Kamaraj Vel,"Vetri, Sakshi Agarwal, Ammu Abhirami, Dhivya Duraisamy",India,Tamil,23-08-2024
Adios Amigo,"Adios Amigo (transl. Farewell, friend) is a 2024 Indian Malayalam-language comedy-drama film directed by Nahas Nazar and written by Thankam.[1] It stars Asif Ali[2] and Suraj Venjaramoodu.[3][4] In the film, After meeting at a bus stop, two men decide to travel together. Since they don't have a set destination, they go to different places and spend time together.",Nahas Nazar,Ashiq Usman,"Asif Ali, Suraj Venjaramoodu",India,Malayalam,09-08-2024
Adrianne and the Castle,"The film profiles Alan St. George, a man who maintains his home in rural Illinois as a shrine to his late wife Adrianne, including musical re-enactments of scenes from their earlier lives together performed by actors Nathan McDonald and SLee.[2]",Shannon Walsh,Ina Fichman,Alan St. George,Canada,English,09-03-2024
Adult Best Friends,"Adult Best Friends is a 2024 American comedy film directed by Delaney Buffett, who co-wrote the film with Katie Corwin. The film stars Buffett and Corwin as fictionalized versions of themselves, and follows two co-dependent adult friends who must cope with one of their engagements. The film premiered at Tribeca Festival on June 8, 2024, and was released on February 26, 2025 by Gravitas Ventures.",Delaney Buffett,"Delaney Buffett, Marie Nikolova","Delaney Buffett, Katie Corwin, Mason Gooding, Zachary Quinto",United States,English,08-06-2024
