,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
10,Goat,"Goat is an upcoming American animated sports comedy film produced by Columbia Pictures and Sony Pictures Animation in association with Unanimous Media and Modern Magic, and distributed by Sony Pictures Releasing. It is directed by Tyree Dillihay (in his feature directorial debut), co-directed by Adam Rosette, and written by Aaron Buchsbaum and Teddy Riley. The film stars the voice talents of Caleb McLaughlin in the title role, Gabrielle Union, Nick Kroll, Nicola Coughlan, David Harbour, Stephen Curry (who also serves a producer), Jenifer Lewis, and Patton Oswalt, and follows an animal of the same name who joins a basketball league in order to become the greatest of all time.",Tyree Dillihay,"Aaron Buchsbaum, Teddy Riley","Stephen Curry, Erick Peyton, Michelle Raimo Kouyate, Adam Rosenberg, Rodney Rothman","Caleb McLaughlin, Gabrielle Union, Nick Kroll, Nicola Coughlan, David Harbour, Stephen Curry, Jenifer Lewis, Patton Oswalt",,Clare Knight,"February 13, 2026",United States,English
11,Gummibär & Friends: Operation Cotton Candy,"The film centers on the titular character Gummibär, an anthropomorphic green gummy bear alongside a group of two friends named Kala, a blue cat who is a master of martial arts, and Harry, a green chameleon who studies science. They are recruited by a Covert Government Agency to defeat a set of nefarious villains who are led by Dr. Verde, the antagonist who is determined to erase the color green from the planet, while Gummy thinks he is merely testing cotton candy flavors.[2][3]",Pete Dodd,Dan Berlinka,"P. Jayakumar, Paul Cummins",,,,2026,"India, Ireland, United Kingdom",English
12,Guru,"Guru (French: Gourou) is an upcoming 2026 French psychological thriller film directed by Yann Gozlan, from a screenplay he wrote with Jean-Baptiste-Delafon. The film stars Pierre Niney as a charismatic and manipulative self-help guru. The supporting cast includes Marion Barbeau, Anthony Bajon and Holt McCallany. It is a co-production between France and Belgium.",Yann Gozlan,,Wassim Beji,Pierre Niney,Antoine Sanier,,28 January 2026(France),"France, Belgium",French
13,Hai Jawani Toh Ishq Hona Hai,"Hai Jawani Toh Ishq Hona Hai (transl. If It's Youth, Then Love Has to Happen; shortened as HJTIHH) is an upcoming Indian Hindi-language romantic comedy film[1] directed by David Dhawan and produced by Tips Films. Based on an original story by Dhawan, the film stars Varun Dhawan, Mrunal Thakur and Pooja Hegde in the lead roles.",David Dhawan,,Ramesh Taurani,"Varun Dhawan, Mrunal Thakur, Pooja Hegde",Ayananka Bose,,10 April 2026,India,Hindi
14,I Can Only Imagine 2,"I Can Only Imagine 2 is scheduled to be released in the United States by Lionsgate on February 20, 2026.","Andrew Erwin, Brent McCorkle",,"Cindy Bond, Kevin Downes, Bart Millard, Daryl Lefever, Joshua Walsh","John Michael Finley, Milo Ventimiglia, Trace Adkins, Dennis Quaid, Sophie Skelton, Arielle Kebbel, Joshua Bassett, Sammy Dell",Johnny Derango,,"February 20, 2026",United States,English
15,Ice Age 6,"Ice Age 6 is an upcoming American animated adventure comedy film produced by 20th Century Animation and distributed by 20th Century Studios. It will serve as a sequel to Ice Age: Collision Course (2016), the sixth main installment and seventh overall installment in the Ice Age film series. Ray Romano, John Leguizamo, Denis Leary, Simon Pegg, and Queen Latifah will reprise their roles from the previous films. It will be the first theatrical Ice Age film not to be produced by Blue Sky Studios, following its closure on April 10, 2021.",,,"Lori Forte, [, 1, ]","Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Simon Pegg",,,"December 18, 2026",United States,English
16,Incidents Around the House,Incidents Around the House is an upcoming American supernatural horror film directed by Rob Savage and written by Nathan Elston. It is based on the 2024 novel by Josh Malerman. It stars Jessica Chastain and Jay Duplass. James Wan serves as a producer through his Atomic Monster banner.,Rob Savage,,James Wan,"Jessica Chastain, Jay Duplass",,,"May 8, 2026",United States,English
17,Jana Nayagan,"Jana Nayagan (transl. People's Hero) is an upcoming Indian Tamil-language political action thriller film[4] directed by H. Vinoth and produced by KVN Productions. The film stars Vijay, Pooja Hegde and Bobby Deol in the lead roles, alongside Gautham Vasudev Menon, Prakash Raj, Narain, Priyamani, Shruti Haasan, Mamitha Baiju, Monisha Blessy and Varalaxmi Sarathkumar. It is intended to be the final film appearance of Vijay before his entry into politics, as well as KVN's first Tamil language production.",H. Vinoth,H. Vinoth,"Venkat K. Narayana, Jagadish Palanisamy, Lohith N. K.","Vijay, Pooja Hegde, Bobby Deol",Sathyan Sooryan,Pradeep E. Ragav,9 January 2026,India,Tamil
18,Kanchana 4,"Kanchana 4 (marketed as Muni 5: Kanchana 4) is an upcoming Indian Tamil-language comedy horror film co-produced, written and directed by Raghava Lawrence. Produced by Goldmines Telefilms, it is the fifth instalment in the Muni film series. The film stars Lawrence, Pooja Hegde and Nora Fatehi.",Raghava Lawrence,Raghava Lawrence,"Manish Shah, Raghava Lawrence","Raghava Lawrence, Pooja Hegde, Nora Fatehi",,,2026,India,Tamil
19,Karma,"Karma is an upcoming 2026 French psychological thriller film directed by Guillaume Canet from a screenplay he co-wrote with Simon Jacquet, starring Marion Cotillard, Leonardo Sbaraglia, Luis Zahera and Denis Ménochet. The film will be released theatrically in France by Pathé on 21 October 2026.",Guillaume Canet,,,"Marion Cotillard, Leonardo Sbaraglia, Luis Zahera, Denis Ménochet",Benoît Debie,Laure Gardette,21 October 2026,France,French
20,The Last Resort,The Last Resort is an upcoming Philippine romantic comedy film directed by Donald Petrie and written by Karen McCullah. It stars Daisy Ridley and Alden Ehrenreich. This is the first Filipino-produced Hollywood film.,Donald Petrie,Karen McCullah,"Ernesto Sta. Maria Jr., Raja Collins","Daisy Ridley, Alden Ehrenreich",Russell Carpenter,Patrick J. Don Vito,February 2026,Philippines,English
21,The Legend of Aang: The Last Airbender,"The Legend of Aang: The Last Airbender is an upcoming American animated fantasy film directed by Lauren Montgomery and co-directed by William Mata. It serves as a continuation of the Nickelodeon animated television series Avatar: The Last Airbender (2005–2008), as well as the first production of Avatar Studios. The film stars the voices of Dave Bautista, Eric Nam, Dionne Quan, Jessica Matten, Román Zaragoza, and Steven Yeun, and will follow the series' main cast in their young adult years.",Lauren Montgomery,,"Maryann Garger, Latifa Ouaou, Bryan Konietzko, Michael Dante DiMartino","Dave Bautista, Eric Nam, Dionne Quan, Jessica Matten, Román Zaragoza, Steven Yeun",,Michelle Mendenhall,"October 9, 2026",United States,English
22,The Mandalorian and Grogu,"The Mandalorian and Grogu is an upcoming American film directed by Jon Favreau and co-written by Favreau and Dave Filoni. Produced by Lucasfilm and set to be distributed by Walt Disney Studios Motion Pictures, it is part of the Star Wars franchise and a continuation of the Disney+ television series The Mandalorian (2019–2023). The film stars Pedro Pascal as Din Djarin / The Mandalorian, alongside Sigourney Weaver, Jeremy Allen White, and Jonny Coyne.",Jon Favreau,"Jon Favreau, Dave Filoni","Kathleen Kennedy, Jon Favreau, Dave Filoni, Ian Bryce","Pedro Pascal, Sigourney Weaver, Jeremy Allen White, Jonny Coyne",,,"May 22, 2026",United States,English
23,Masters of the Universe,"Masters of the Universe is an upcoming American superhero film based on Mattel's franchise of the same name. The film is directed by Travis Knight, from a script by Chris Butler. It stars Nicholas Galitzine as Prince Adam / He-Man, a man who returns to his home planet Eternia to save it from the evil forces of Skeletor, played by Jared Leto. Camila Mendes, Alison Brie, Idris Elba, Morena Baccarin, Jóhannes Haukur Jóhannesson, Sasheer Zamata, James Purefoy, and Charlotte Riley also star.",Travis Knight,,"Todd Black, Jason Blumenthal, Steve Tisch, Robbie Brenner","Nicholas Galitzine, Camila Mendes, Jared Leto, Alison Brie, Idris Elba, Morena Baccarin, Jóhannes Haukur Jóhannesson, Sasheer Zamata, James Purefoy, Charlotte Riley",Fabian Wagner,,"June 5, 2026",United States,English
24,Matchbox,"Matchbox is an upcoming American action adventure comedy film directed by Sam Hargrave and written by David Coggeshall and Jonathan Tropper, based on the toy brand of same name. It stars John Cena, Jessica Biel, Sam Richardson, Arturo Castro, Teyonah Parris, Randeep Hooda, Danai Gurira, and Corey Stoll.",Sam Hargrave,"David Coggeshall, Jonathan Tropper","David Ellison, Dana Goldberg, Don Granger, Robbie Brenner","John Cena, Jessica Biel, Sam Richardson, Arturo Castro, Teyonah Parris, Randeep Hooda, Danai Gurira, Corey Stoll",Pedro Luque,,2026,United States,English
25,Mercy,"Mercy is an upcoming American science fiction thriller film directed by Timur Bekmambetov, written by Marco van Belle, produced by Charles Roven and Bekmambetov and starring Chris Pratt, Rebecca Ferguson, and Annabelle Wallis.",Timur Bekmambetov,Marco van Belle,"Charles Roven, Robert Amidon, Timur Bekmambetov, Majd Nassif","Chris Pratt, Rebecca Ferguson, Annabelle Wallis",Khalid Mohtaseb,"Austin Keeling, Lam T. Nguyen","January 23, 2026",United States,English
26,Michael,"Michael is an upcoming American biographical musical drama film based on the life of the American singer, songwriter, and dancer Michael Jackson. Directed by Antoine Fuqua and written by John Logan, the film stars Jaafar Jackson, Jackson's nephew, in his film debut as Michael Jackson. The ensemble cast also features Colman Domingo, Nia Long, Miles Teller, Laura Harrier, Kat Graham, Larenz Tate, and Derek Luke.",Antoine Fuqua,John Logan,"Graham King, John Branca, John McClain","Jaafar Jackson, Colman Domingo, Nia Long, Miles Teller, Laura Harrier, Kat Graham, Larenz Tate, Derek Luke",Dion Beebe,,2026,United States,English
27,Moana,"Moana is an upcoming American musical adventure film directed by Thomas Kail from a screenplay by Jared Bush and Dana Ledoux Miller, and produced by Dwayne Johnson, Hiram and Dany Garcia, and Beau Flynn. The film is a live-action adaptation of Disney's 2016 animated film Moana, and the third installment in the Moana franchise. It stars Catherine Laga'aia in her film debut as Moana and Johnson reprising his role as Maui from the animated films.",Thomas Kail,,"Dwayne Johnson, Dany Garcia, Hiram Garcia, Beau Flynn","Catherine Laga'aia, Dwayne Johnson, John Tui, Frankie Adams, Rena Owen",Óscar Faura,,"July 10, 2026",United States,English
28,The Mummy,"Lee Cronin's The Mummy is an upcoming American supernatural horror film written and directed by Lee Cronin. It is produced by Jason Blum and James Wan under their respective Blumhouse Productions and Atomic Monster banners, alongside Cronin's production company Doppelgängers. The film stars Jack Reynor, Laia Costa, Verónica Falcón, and May Calamawy.",Lee Cronin,Lee Cronin,"Jason Blum, Lee Cronin, John Keville, James Wan","Jack Reynor, Laia Costa, Verónica Falcón, May Calamawy",Dave Garbett,,"April 17, 2026",United States,English
29,Mutiny,"Cole Reed was in the Special Forces and served as a New York police officer in a former life. Now working private security, Reed is framed for murdering his Thai billionaire friend, Tibu, and he comes across an international conspiracy in his search for the true killer.",Jean-François Richet,"Lindsay Michel, J. P. Davis","Jason Statham, Marc Butan","Jason Statham, Annabelle Wallis, Roland Møller, Jason Wong",,,"January 9, 2026","United Kingdom, United States",English
30,Naagzilla,"The film was officially announced on 22 April 2025, and scheduled to be released on 14 August 2026.[5]",Mrighdeep Singh Lamba,Gautam Mehra,"Karan Johar, Mahaveer Jain, Adar Poonawalla, Apoorva Mehta, Mrighdeep Singh Lamba, Sujit Jain","Kartik Aaryan, Ravi Kishan",,,14 August 2026,India,Hindi
31,The Odyssey,"The Odyssey is an upcoming epic action fantasy film written, produced, and directed by Christopher Nolan as an adaptation of the eponymous epic poem by Homer, produced by Nolan's production company Syncopy and distributed by Universal Pictures. The film stars Matt Damon as Odysseus, the Ancient Greek king of Ithaca, and follows his journey home after the Trojan War to reunite with his wife, Penelope. The ensemble cast also features Tom Holland, Anne Hathaway, Zendaya, Lupita Nyong'o, Robert Pattinson, and Charlize Theron.",Christopher Nolan,,"Emma Thomas, Christopher Nolan","Matt Damon, Tom Holland, Anne Hathaway, Zendaya, Lupita Nyong'o, Robert Pattinson, Charlize Theron",Hoyte van Hoytema,,"July 17, 2026","United Kingdom, United States",English
32,The Paradise,The Paradise is scheduled to be theatrically release on 26 March 2026.,Srikanth Odela,,Sudhakar Cherukuri,"Nani, Sonali Kulkarni",G. K. Vishnu,Naveen Nooli,"March 26, 2026",India,Telugu
33,Parasakthi,"Parasakthi (transl. The Supreme Power) is an upcoming Indian Tamil-language political period drama film[a] directed by Sudha Kongara and produced by Dawn Pictures. The film stars Sivakarthikeyan, Ravi Mohan, Atharvaa and Sreeleela (in her Tamil debut) in the lead roles, alongside Dev Ramnath, Prithvi Rajan, Guru Somasundaram, Basil Joseph, Ranjan Ramanayake and Papri Ghosh. Based on true events, the story revolves around the Anti-Hindi agitations in Tamil Nadu that happened in 1965.",Sudha Kongara,"Sudha Kongara, Arjun Nadesan",Aakash Baskaran,"Sivakarthikeyan, Ravi Mohan, Atharvaa, Sreeleela",Ravi K. Chandran,Sathish Suriya,January 2026,India,Tamil
34,Paw Patrol: The Dino Movie,"Paw Patrol: The Dino Movie is an upcoming Canadian animated action-adventure comedy film based on the television series Paw Patrol created by Keith Chapman. Produced by Spin Master Entertainment, it is the sequel to Paw Patrol: The Movie (2021) and Paw Patrol: The Mighty Movie (2023) and is being directed by Cal Brunker, who co-wrote the screenplay with Bob Barlen. The ensemble voice cast includes Mckenna Grace (voicing Skye), Ron Pardo (voicing both Cap’n Turbot and Mayor Humdinger), Jennifer Hudson, Fortune Feimster, Snoop Dogg, Bill Nye, Meredith MacNeill, Paris Hilton, Terry Crews, and Jameela Jamil.",Cal Brunker,,"Jennifer Dodge, Laura Clunie, Toni Stevens","Mckenna Grace, Ron Pardo, Jennifer Hudson, Fortune Feimster, Jameela Jamil, Terry Crews, Snoop Dogg, Bill Nye, Paris Hilton, Meredith MacNeill",,Ed Fuller,"July 24, 2026",Canada,English
35,Peddi,"Peddi is an upcoming Indian Telugu-language sports action film[1][2] written and directed by Buchi Babu Sana and produced by Venkata Satish Kilaru.[3] The film stars Ram Charan in the titular role, alongside Shiva Rajkumar, Janhvi Kapoor, Divyendu Sharma and Jagapathi Babu.[4]",Buchi Babu Sana,Buchi Babu Sana,Venkata Satish Kilaru,"Ram Charan, Shiva Rajkumar, Janhvi Kapoor, Divyendu Sharma, Jagapathi Babu",R. Rathnavelu,Navin Nooli,27 March 2026,India,Telugu
36,Project Hail Mary,"Project Hail Mary is an upcoming American epic science fiction film based on the novel by Andy Weir. Produced and directed by Phil Lord and Christopher Miller in their first directorial effort since 22 Jump Street (2014), and written by Drew Goddard, it stars Ryan Gosling, Sandra Hüller, and Milana Vayntrub.","Phil Lord, Christopher Miller",,"Phil Lord, Christopher Miller, Rachel O'Connor, Ryan Gosling, Aditya Sood, Amy Pascal, Andy Weir","Ryan Gosling, Sandra Hüller, Milana Vayntrub",Greig Fraser,,"March 20, 2026",United States,English
37,Ready or Not 2: Here I Come,"Ready or Not 2: Here I Come is an upcoming American comedy horror film directed by Matt Bettinelli-Olpin and Tyler Gillett, and written by Guy Busick and R. Christopher Murphy. It serves as the sequel to Ready or Not (2019), with Samara Weaving returning to star, along with Kathryn Newton, Kevin Durand, David Cronenberg, Sarah Michelle Gellar, and Elijah Wood.","Matt Bettinelli-Olpin, Tyler Gillett",,"Tripp Vinson, Bradley J. Fischer, William Sherak, James Vanderbilt","Samara Weaving, Kathryn Newton, Kevin Durand, David Cronenberg, Sarah Michelle Gellar, Elijah Wood",Brett Jutkiewicz,Jay Prychidny,"April 10, 2026",United States,English
38,Reminders of Him,"Reminders of Him is upcoming American romantic drama film directed by Vanessa Caswill, from a screenplay by Colleen Hoover and Lauren Levine. It is based on the novel of the same name by Hoover. It stars Maika Monroe, Tyriq Withers, Rudy Pankow, Lauren Graham, Bradley Whitford, and Lainey Wilson.",Vanessa Caswill,,"Colleen Hoover, Lauren Levine, Gina Matthews","Maika Monroe, Tyriq Withers, Rudy Pankow, Lauren Graham, Bradley Whitford, Lainey Wilson",,,"February 13, 2026",United States,English
39,The RIP,"The RIP is an upcoming American action thriller film written and directed by Joe Carnahan. The film stars Matt Damon, Ben Affleck, Steven Yeun, Teyana Taylor, Sasha Calle, Néstor Carbonell, Catalina Sandino Moreno, Kyle Chandler, Scott Adkins, and Lina Esco.",Joe Carnahan,Joe Carnahan,"Matt Damon, Ben Affleck, Luciana Barroso, Dani Bernfield","Matt Damon, Ben Affleck, Steven Yeun, Teyana Taylor, Catalina Sandino Moreno, Sasha Calle, Néstor Carbonell, Lina Esco, Scott Adkins, Kyle Chandler",,,"January 16, 2026",United States,English
40,Rolling Loud,"Inspired by a true story, an overprotective father attempts to bond with his 13-year-old son by sneaking him into the Rolling Loud hip hop music festival in Miami.",Jeremy Garelick,Jeremy Garelick,"Jeremy Garelick, Will Phelps, Stella Bulochnikov","Owen Wilson, Matt Rife, Christine Ko, Christian Convery, Henry Winkler, Sexyy Red, Ty Dolla $ign, Ski Mask the Slump God, The Weeknd, Nav, Leon Thomas III",,,2026,United States,English
41,Scream 7,"Scream 7 is an upcoming American slasher film directed by Kevin Williamson and written by Guy Busick, from a story by James Vanderbilt and Busick. It is a sequel to Scream VI (2023) and the seventh installment in the Scream film series. The film stars Neve Campbell, Courteney Cox, Mason Gooding, Jasmin Savoy Brown, Roger L. Jackson, and David Arquette reprising their roles from previous films, along with Isabel May and Joel McHale.",Kevin Williamson,,"James Vanderbilt, Paul Neinstein, William Sherak","Neve Campbell, Courteney Cox, Mason Gooding, Jasmin Savoy Brown, Roger L. Jackson, Isabel May, Joel McHale, David Arquette",,,"February 27, 2026",United States,English
42,Send Help,A woman and her boss struggle to stay alive on a remote island after a plane crash.,Sam Raimi,"Mark Swift, Damian Shannon","Sam Raimi, Zainab Azizi","Rachel McAdams, Chris Pang, Dylan O'Brien, Dennis Haysbert",Bill Pope,,"January 30, 2026",United States,English
43,Shiver,"The film will be released on July 3, 2026.",Tommy Wirkola,Tommy Wirkola,"Adam McKay, Kevin Messick","Phoebe Dynevor, Whitney Peak, Djimon Hounsou",,,"July 3, 2026",United States,English
44,Shrek 5,"Shrek 5 is an upcoming American animated fantasy comedy film loosely based on the 1990 picture book Shrek! by William Steig, produced by DreamWorks Animation and distributed by Universal Pictures. The sequel to Shrek Forever After (2010), it serves as the fifth main installment and the seventh overall installment in the Shrek film series. The film is directed by Walt Dohrn and Conrad Vernon and co-directed by Brad Ableson from a screenplay written by Michael McCullers, and produced by Illumination CEO Chris Meledandri and Gina Shay. Mike Myers, Eddie Murphy, and Cameron Diaz will reprise their respective voice roles as the title character, Donkey, and Princess Fiona from the previous films, with Zendaya joining the cast.","Walt Dohrn, Conrad Vernon",Michael McCullers,"Chris Meledandri, Gina Shay","Mike Myers, Eddie Murphy, Cameron Diaz, Zendaya",,,"December 23, 2026",United States,English
45,Solo Mio,"In May 2024, it was announced that James was cast in the film.[1]","Chuck Kinnane, Dan Kinnane","Kevin James, Patrick Kinnane, John Kinnane","Mark Fasano, Jeffrey Greenstein","Kevin James, Allyson Hannigan, Kim Coates, Jonathan Roumie",Jared Fadel,Pete Kinnane,"February 6, 2026",United States,English
46,SOULM8TE,"SOULM8TE (pronounced ""Soulmate"") is an upcoming American science fiction erotic thriller film written and directed by Kate Dolan, from a story by James Wan, Ingrid Bisu, and Rafael Jordan. A spin-off to M3GAN (2022), the plot will follow a man who buys an android to cope with the death of his wife. It stars Lily Sullivan, David Rysdahl, Claudia Doumit and Oliver Cooper. Jason Blum and James Wan serve as producers under their Blumhouse Productions and Atomic Monster banners.",Kate Dolan,,"James Wan, Jason Blum","Lily Sullivan, David Rysdahl, Claudia Doumit, Oliver Cooper",Narayan Van Maele,John Cutler,"January 9, 2026",United States,English
47,The Super Mario Bros. Movie,,"Aaron Horvath, Michael Jelenic",Matthew Fogel,"Chris Meledandri, Shigeru Miyamoto","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key, Seth Rogen, Fred Armisen",,Eric Osmond,"April 1, 2023(L.A. Live)",United States,English
48,Supergirl: Woman of Tomorrow,"Supergirl: Woman of Tomorrow is an upcoming American superhero film based on DC Comics featuring the character Supergirl. Produced by DC Studios and to be distributed by Warner Bros. Pictures, it will be the second film in the DC Universe (DCU). The film is directed by Craig Gillespie, written by Ana Nogueira, and stars Milly Alcock as Kara Zor-El / Supergirl, alongside Matthias Schoenaerts, Eve Ridley, David Krumholtz, and Emily Beecham.",Craig Gillespie,Ana Nogueira,"James Gunn, Peter Safran","Milly Alcock, Matthias Schoenaerts, Eve Ridley, David Krumholtz, Emily Beecham",Rob Hardy,,"June 26, 2026",United States,English
49,Three Bags Full: A Sheep Detective Movie,"Three Bags Full: A Sheep Detective Movie is an upcoming live-action animated mystery comedy thriller film directed by Kyle Balda and written by Craig Mazin. It is based on the 2005 novel Three Bags Full by Leonie Swann. The film features an ensemble cast including Hugh Jackman, Emma Thompson, Nicholas Braun, Nicholas Galitzine, Molly Gordon, Hong Chau, Tosin Cole, Kobna Holdbrook-Smith, Bryan Cranston, Julia Louis-Dreyfus, Chris O'Dowd, Regina Hall, and Patrick Stewart.",Kyle Balda,,"Lindsay Doran, Tim Bevan, Eric Fellner","Hugh Jackman, Emma Thompson, Nicholas Braun, Nicholas Galitzine, Molly Gordon, Hong Chau, Tosin Cole, Kobna Holdbrook-Smith, Bryan Cranston, Julia Louis-Dreyfus, Chris O'Dowd, Regina Hall, Patrick Stewart",George Steel,"Paul Machliss, Al LeVine","November 13, 2026","United Kingdom, United States",English
